"last_name, first_name","player_id","year","pa","bip","ba","est_ba","est_ba_minus_ba_diff","slg","est_slg","est_slg_minus_slg_diff","woba","est_woba","est_woba_minus_woba_diff"
"Olivares, Edward","658668","2023","385","292",0.263,0.27,-0.007000000000000006,0.452,0.456,-0.0040000000000000036,0.329,0.338,-0.009000000000000008
"Taylor, Chris","621035","2023","384","214",0.237,0.222,0.014999999999999986,0.42,0.4,0.019999999999999962,0.323,0.311,0.01200000000000001
"Chisholm Jr., Jazz","665862","2023","383","237",0.25,0.224,0.025999999999999995,0.457,0.431,0.026000000000000023,0.325,0.307,0.018000000000000016
"Ibáñez, Andy","628451","2023","383","289",0.264,0.271,-0.007000000000000006,0.433,0.446,-0.013000000000000012,0.32,0.331,-0.01100000000000001
"Yastrzemski, Mike","573262","2023","381","234",0.233,0.232,0.0010000000000000009,0.445,0.419,0.026000000000000023,0.333,0.325,0.008000000000000007
"Moreno, Gabriel","672515","2023","380","273",0.284,0.266,0.01799999999999996,0.408,0.387,0.020999999999999963,0.325,0.314,0.01100000000000001
"Fraley, Jake","641584","2023","380","266",0.256,0.261,-0.0050000000000000044,0.443,0.402,0.04099999999999998,0.338,0.328,0.010000000000000009
"Brown, Seth","664913","2023","378","245",0.222,0.237,-0.014999999999999986,0.405,0.451,-0.045999999999999985,0.298,0.322,-0.02400000000000002
"Heyward, Jason","518792","2023","377","273",0.269,0.25,0.019000000000000017,0.473,0.405,0.06799999999999995,0.348,0.319,0.02899999999999997
"Diaz, Yainer","673237","2023","377","287",0.282,0.285,-0.0030000000000000027,0.538,0.539,-0.0010000000000000009,0.354,0.357,-0.0030000000000000027
"Donovan, Brendan","680977","2023","371","276",0.284,0.287,-0.0030000000000000027,0.422,0.438,-0.016000000000000014,0.345,0.354,-0.009000000000000008
"Bae, Ji Hwan","678225","2023","371","247",0.231,0.222,0.009000000000000008,0.311,0.293,0.018000000000000016,0.272,0.264,0.008000000000000007
"Cabrera, Miguel","408234","2023","370","263",0.257,0.247,0.010000000000000009,0.353,0.363,-0.010000000000000009,0.299,0.301,-0.0020000000000000018
