"id","name","swings_competitive","percent_swings_competitive","contact","avg_bat_speed","hard_swing_rate","squared_up_per_bat_contact","squared_up_per_swing","blast_per_bat_contact","blast_per_swing","swing_length","swords","batter_run_value","whiffs","whiff_per_swing","batted_ball_events","batted_ball_event_per_swing"
519317,"Stanton, Giancarlo",448,0.9068825910931174,283,"80.620201027",0.9732142857142858,0.3003533568904594,0.18973214285714285,0.26148409893992935,0.16517857142857142,"8.788955402",4,8.96770746493157,165,0.36830357142857145,141,0.31473214285714285
665833,"Cruz, Oneil",822,0.906284454244763,556,"78.80644826",0.7846715328467151,0.32194244604316546,0.21776155717761558,0.24820143884892087,0.1678832116788321,"7.7619882",19,-21.82794950831594,266,0.3236009732360097,273,0.33211678832116787
691406,"Caminero, Junior",1102,0.9069958847736626,851,"78.584840581",0.8130671506352087,0.2890716803760282,0.22323049001814882,0.22209165687426558,0.17150635208711434,"8.420028167",21,1.902220580287831,251,0.2277676950998185,432,0.39201451905626133
656180,"Adams, Riley",500,0.9041591320072333,341,"78.30455994",0.792,0.23460410557184752,0.16,0.18181818181818182,0.124,"7.85196294",14,-22.703590721440264,159,0.318,148,0.296
691023,"Walker, Jordan",686,0.9050131926121372,465,"78.069257522",0.7784256559766762,0.26666666666666666,0.18075801749271136,0.2,0.13556851311953352,"8.258906224",21,-19.19972117308873,221,0.32215743440233235,231,0.336734693877551
678877,"Noel, Jhonkensy",306,0.9134328358208955,212,"77.867274118",0.7320261437908495,0.20754716981132076,0.1437908496732026,0.1320754716981132,0.0915032679738562,"7.534005654",6,-15.215198791245857,94,0.30718954248366015,91,0.2973856209150327
666176,"Adell, Jo",1032,0.9028871391076115,779,"77.613888062",0.7335271317829456,0.26187419768934533,0.19767441860465115,0.19127086007702182,0.14437984496124032,"7.728556453",30,0.5855875598402367,253,0.2451550387596899,354,0.3430232558139535
656941,"Schwarber, Kyle",1141,0.8998422712933754,807,"77.337695513",0.7721297107800176,0.322180916976456,0.22787028921998248,0.24659231722428748,0.17440841367221735,"7.531078869",51,10.769429923845621,334,0.2927256792287467,385,0.3374233128834356
695506,"Caglianone, Jac",398,0.908675799086758,299,"77.330430427",0.7261306532663316,0.2608695652173913,0.19597989949748743,0.19732441471571907,0.14824120603015076,"7.629539095",5,-22.24987775079141,99,0.24874371859296482,148,0.37185929648241206
671286,"Rodríguez, Johnathan",123,0.9111111111111111,76,"77.272999919",0.6747967479674797,0.3815789473684211,0.23577235772357724,0.27631578947368424,0.17073170731707318,"8.068561626",3,-3.114742262006252,47,0.3821138211382114,47,0.3821138211382114
701762,"Kurtz, Nick",735,0.9096534653465347,490,"77.204379361",0.7251700680272111,0.29183673469387755,0.1945578231292517,0.22040816326530613,0.1469387755102041,"7.711152299",18,22.68538835025045,245,0.3333333333333333,243,0.3306122448979592
695657,"Montgomery, Colson",493,0.9079189686924494,345,"77.041530162",0.7160243407707911,0.25507246376811593,0.17849898580121704,0.17391304347826086,0.12170385395537525,"7.800350527",8,4.076320621111492,148,0.3002028397565923,162,0.3286004056795132
592450,"Judge, Aaron",1015,0.9022222222222223,685,"76.992197803",0.7162561576354679,0.3416058394160584,0.23054187192118228,0.2510948905109489,0.16945812807881774,"8.109203547",35,34.1101155061919,330,0.3251231527093596,347,0.341871921182266
