"last_name, first_name","player_id","year","pa","bip","ba","est_ba","est_ba_minus_ba_diff","slg","est_slg","est_slg_minus_slg_diff","woba","est_woba","est_woba_minus_woba_diff"
"Duran, Jarren","680776","2024","735","515",0.285,0.271,0.013999999999999957,0.492,0.448,0.043999999999999984,0.357,0.338,0.01899999999999996
"Ohtani, Shohei","660271","2024","731","479",0.31,0.314,-0.0040000000000000036,0.646,0.659,-0.013000000000000012,0.431,0.441,-0.010000000000000009
"Henderson, Gunnar","683002","2024","719","475",0.281,0.283,-0.0019999999999999463,0.529,0.492,0.03700000000000003,0.381,0.374,0.007000000000000006
"Semien, Marcus","543760","2024","718","546",0.237,0.251,-0.014000000000000012,0.391,0.392,-0.0010000000000000009,0.306,0.314,-0.008000000000000007
"Soto, Juan","665742","2024","713","461",0.288,0.316,-0.028000000000000025,0.569,0.645,-0.07600000000000007,0.421,0.462,-0.041000000000000036
"Witt Jr., Bobby","677951","2024","709","538",0.332,0.315,0.017000000000000015,0.588,0.577,0.01100000000000001,0.41,0.408,0.0020000000000000018
"Judge, Aaron","592450","2024","704","390",0.322,0.31,0.01200000000000001,0.701,0.722,-0.02100000000000002,0.476,0.479,-0.0030000000000000027
"Guerrero Jr., Vladimir","665489","2024","697","524",0.323,0.32,0.0030000000000000027,0.544,0.567,-0.02299999999999991,0.398,0.408,-0.009999999999999953
"De La Cruz, Elly","682829","2024","696","403",0.259,0.24,0.019000000000000017,0.471,0.427,0.043999999999999984,0.349,0.327,0.021999999999999964
"Alonso, Pete","624413","2024","695","440",0.24,0.242,-0.0020000000000000018,0.459,0.461,-0.0020000000000000018,0.34,0.343,-0.0030000000000000027
"Tovar, Ezequiel","678662","2024","695","467",0.269,0.233,0.036000000000000004,0.469,0.4,0.06899999999999995,0.324,0.288,0.03600000000000003
"Reynolds, Bryan","668804","2024","692","469",0.275,0.27,0.0050000000000000044,0.447,0.463,-0.016000000000000014,0.343,0.35,-0.006999999999999951
"Schwarber, Kyle","656941","2024","692","384",0.248,0.256,-0.008000000000000007,0.485,0.511,-0.026000000000000023,0.366,0.38,-0.014000000000000012
