"id","name","bat_side","side","avg_batter_y_position","avg_batter_x_position","avg_foot_sep","avg_stance_angle","avg_intercept_y_vs_batter","avg_intercept_y_vs_plate"
678662,"Tovar, Ezequiel","R","R",28.716132239756035,26.146445943233655,34.85980016762823,-3.02027177651653,34.22464572182273,5.5085134820667
518692,"Freeman, Freddie","L","L",29.585682129220952,29.575572790957416,34.55634424298804,-1.9830539798040991,26.647963764896748,-2.937718364324203
606192,"Hernández, Teoscar","R","R",28.495561828917396,28.167012553492565,29.2988203124475,0.9673338791556421,31.74790652068921,3.2523446917718135
663586,"Riley, Austin","R","R",30.16617896217552,28.541431251661685,29.805870863483573,-8.560571670657678,34.12273315726055,3.956554195085035
641355,"Bellinger, Cody","L","L",33.916033716733864,25.63986382051091,20.765444068948227,-19.589145734874158,31.099761491154567,-2.816272225579299
665487,"Tatis Jr., Fernando","R","R",23.17283673774602,29.24689701307584,28.030194040688805,-13.95382635114942,30.22627357574943,7.053436838003405
553993,"Suárez, Eugenio","R","R",26.50171301655776,26.347340774088362,28.203299584447933,-4.341014976266731,31.310909720817417,4.809196704259652
642715,"Adames, Willy","R","R",31.016304052757565,31.14953841809643,32.81739858307275,2.8741540379380126,31.279443159522174,0.26313910676461283
592206,"Castellanos, Nick","R","R",28.760814594646494,28.66257165068466,27.980867659218923,-17.423740155890332,33.41668507470802,4.655870480061535
683002,"Henderson, Gunnar","L","L",26.466116644290082,24.486377165985942,33.72757271353912,-5.927976740554284,31.386247154595022,4.920130510304943
679529,"Torkelson, Spencer","R","R",27.234975016578467,25.978934942374167,36.175491718702325,-3.427154097572465,31.568964962741855,4.333989946163387
681481,"Carpenter, Kerry","L","L",30.95082031863474,28.85976805124519,21.78668843333749,-1.9248002226594458,24.184106399687952,-6.766713918946785
677951,"Witt Jr., Bobby","R","R",28.602080541875637,25.531067180507144,28.957022003655844,-8.573979465330009,30.118388663285696,1.5163081214100576
543807,"Springer, George","R","R",27.240762721394933,30.07445919368816,27.783112770444752,-9.666132759513088,23.032603798838625,-4.208158922556303
607208,"Turner, Trea","R","R",27.270362094452903,29.17259623722386,38.045484722738465,2.955372917846377,33.764826756289814,6.494464661836918
621566,"Olson, Matt","L","L",29.65274889259433,29.513548570933132,30.392861299164068,-8.70204151444957,34.74143477772559,5.088685885131242
663993,"Lowe, Nathaniel","L","L",29.713100745408003,31.296050461721205,29.213208675667303,-18.230231874226988,26.49058137865902,-3.2225193667489798
680869,"Gelof, Zack","R","R",22.71787175514989,31.054877824763878,44.428244815213574,2.1845394049223334,26.96564894823855,4.247777193088655
677594,"Rodríguez, Julio","R","R",19.625652988879764,28.32528679143592,25.154006200761916,4.209935958709709,35.4115500413769,15.785897052497122
646240,"Devers, Rafael","L","L",17.887618930842724,24.410595099066228,32.27986154322771,-53.45884363705753,32.222378309708084,14.334759378865359
682928,"Abrams, CJ","L","L",25.347676062556307,28.968802044207585,27.912162772584136,-8.447860668168715,28.38390051172303,3.0362244491667263
661388,"Contreras, William","R","R",29.560412451560108,28.178429375291614,27.820479285344533,-4.5819762145314105,31.066036313560566,1.5056238620004594
669394,"Burger, Jake","R","R",22.14489371259907,30.984359949056504,23.694218433829274,1.8200806234826115,33.61454353969532,11.469649827096248
641857,"McMahon, Ryan","L","L",21.299396277001485,32.99700770576332,43.12761927301855,-1.4066832934733071,22.733952557575197,1.4345562805737098
664034,"France, Ty","R","R",26.618714241918152,25.384206934503517,30.13799778881957,-24.784401361825864,29.314807326322192,2.6960930844040396
665161,"Peña, Jeremy","R","R",28.112432450684665,27.48191043180936,29.814755653869614,-13.077901706209142,25.531833412342603,-2.580599038342061
572233,"Walker, Christian","R","R",29.376176357716133,26.493993635568863,24.655822879292415,-12.32214779903307,30.955525772382572,1.5793494146664457
