"id","name","swings_competitive","percent_swings_competitive","contact","avg_bat_speed","hard_swing_rate","squared_up_per_bat_contact","squared_up_per_swing","blast_per_bat_contact","blast_per_swing","swing_length","swords","batter_run_value","whiffs","whiff_per_swing","batted_ball_events","batted_ball_event_per_swing"
519317,"Stanton, Giancarlo",386,0.9039812646370023,262,"80.981809819",0.9637305699481865,0.24427480916030533,0.16580310880829016,0.21755725190839695,0.14766839378238342,"8.504712883",7,-6.726460946003543,124,0.32124352331606215,131,0.3393782383419689
666176,"Adell, Jo",98,0.8990825688073395,65,"79.213932245",0.877551020408163,0.16923076923076924,0.11224489795918367,0.12307692307692308,0.08163265306122448,"7.924239796",2,-2.565654188098011,33,0.336734693877551,24,0.24489795918367346
672744,"Canario, Alexander",36,0.9230769230769231,21,"78.816135556",0.8055555555555555,0.2857142857142857,0.16666666666666666,0.23809523809523808,0.1388888888888889,"8.453656389",0,0.35511370461093583,15,0.4166666666666667,9,0.25
691406,"Caminero, Junior",53,0.8983050847457628,40,"78.206980377",0.7358490566037736,0.2,0.1509433962264151,0.175,0.1320754716981132,"8.408043208",2,-2.6280794286046976,13,0.24528301886792453,22,0.41509433962264153
614173,"Cordero, Franchy",15,0.8823529411764706,11,"78.068596",0.7333333333333334,0.2727272727272727,0.2,0.18181818181818182,0.13333333333333333,"7.653464",1,1.7344426240573585,4,0.26666666666666666,7,0.4666666666666667
670242,"Wallner, Matt",386,0.910377358490566,257,"77.402933756",0.7668393782383419,0.2529182879377432,0.16839378238341968,0.17509727626459143,0.11658031088082901,"7.46482651",11,-2.843715487928327,129,0.33419689119170987,110,0.2849740932642487
660271,"Ohtani, Shohei",322,0.9019607843137255,218,"77.382653137",0.7391304347826088,0.29357798165137616,0.19875776397515527,0.22935779816513763,0.15527950310559005,"7.884165643",5,11.587780468998416,104,0.32298136645962733,89,0.27639751552795033
660670,"Acuña Jr., Ronald",481,0.900749063670412,404,"77.302990021",0.6985446985446986,0.35396039603960394,0.2972972972972973,0.25742574257425743,0.21621621621621623,"7.385042646",11,9.783191007711297,77,0.1600831600831601,222,0.46153846153846156
677594,"Rodríguez, Julio",515,0.908289241622575,384,"77.171916019",0.6951456310679613,0.3255208333333333,0.24271844660194175,0.22135416666666666,0.1650485436893204,"7.950040274",10,12.118274895186048,131,0.2543689320388349,199,0.3864077669902913
656941,"Schwarber, Kyle",429,0.897489539748954,317,"77.100348834",0.7435897435897435,0.2902208201892745,0.21445221445221446,0.20504731861198738,0.15151515151515152,"7.873779225",7,1.9499798500477468,112,0.26107226107226106,151,0.351981351981352
592518,"Machado, Manny",452,0.904,359,"76.729379314",0.665929203539823,0.29526462395543174,0.2345132743362832,0.19498607242339833,0.15486725663716813,"7.741457511",9,-7.618761954165216,93,0.20575221238938052,183,0.40486725663716816
