"id","name","side","avg_bat_speed","swing_tilt","attack_angle","attack_direction","ideal_attack_angle_rate","avg_intercept_y_vs_plate","avg_intercept_y_vs_batter","avg_batter_y_position","avg_batter_x_position","competitive_swings"
519317,"Stanton, Giancarlo","R","80.620201027",27.9289177805572,10.465511689567272,-4.249248846862947,0.6205357142857144,-0.9878568816488065,25.850922215970513,26.838779097619323,33.79211283221922,448
665833,"Cruz, Oneil","L","78.80644826",33.43622881867995,9.180805133104982,-7.276677028918451,0.4781021897810218,7.522982007124127,35.36673588309375,27.843753875969625,26.716537605901298,822
691406,"Caminero, Junior","R","78.584840581",26.203443087874998,8.005418178547595,-5.361446158391793,0.5970961887477314,7.703485565641564,35.97456743958034,28.27108187393878,28.619380986893578,1102
656180,"Adams, Riley","R","78.30455994",34.63606296887627,8.452584134327873,-1.0266353301649485,0.404,2.113820518118803,30.64440342994397,28.53058291182516,29.03788605422993,500
691023,"Walker, Jordan","R","78.069257522",31.415359295854575,6.175581936973641,-5.32482044289161,0.4766763848396501,6.269504102845828,30.065739970239466,23.796235867393637,31.7577300410185,686
678877,"Noel, Jhonkensy","R","77.867274118",29.09653185328481,6.732518842787214,-5.012344050236833,0.43137254901960786,6.74790445638558,35.6875894904174,28.939685034031825,33.51585357100833,306
666176,"Adell, Jo","R","77.613888062",33.829989799879144,7.995368341816654,-5.8742035686432175,0.4951550387596901,0.06296637958043089,26.147007207224814,26.08404082764438,28.09498859688566,1032
656941,"Schwarber, Kyle","L","77.337695513",30.31140916796209,14.571614667469008,-5.779752954415325,0.6432953549517967,12.341837581117508,33.41729998490293,21.075462403785426,25.300409378293512,1141
695506,"Caglianone, Jac","L","77.330430427",28.50953270980962,8.58081569314219,-4.177849388502596,0.4899497487437186,11.048833543544083,32.95989609333113,21.911062549787047,28.976160717943536,398
671286,"Rodríguez, Johnathan","R","77.272999919",31.58991054857763,7.346176027115059,-2.598597440284843,0.29268292682926833,5.14773247388179,34.82320118364572,29.675468709763933,29.06764875629222,123
701762,"Kurtz, Nick","L","77.204379361",39.1104098615189,14.330573769698926,1.671615229288511,0.47755102040816333,1.3931319648773077,24.822705110219815,23.429573145342506,27.742097941049924,735
695657,"Montgomery, Colson","L","77.041530162",32.8444068838798,11.506671647930652,-8.67459774172123,0.5233265720081136,2.6157821303918536,34.85754092018735,32.2417587897955,28.116495956535694,493
592450,"Judge, Aaron","R","76.992197803",38.42581868290558,14.079290363503166,-6.045215135255591,0.5083743842364531,4.316419710496247,30.554699746868618,26.23828003637238,33.09666937729869,1015
665489,"Guerrero Jr., Vladimir","R","76.674020965",27.40407035652627,1.2422684925389167,-4.438808484428366,0.3054662379421222,6.590358693541127,34.43773425297035,27.847375559429224,28.991091778063904,933
670242,"Wallner, Matt","L","76.567157042",28.22117163820362,12.508090105913539,-6.206166173680729,0.5656565656565657,10.569006066341611,37.3337060842318,26.76470001789018,31.355995478505463,693
641343,"Bauers, Jake","L","76.452483468",34.46441684631698,12.056851472652905,-2.9682292075854892,0.5,-0.2599115325398915,29.405992137601416,29.665903670141315,26.45737299152267,346
677594,"Rodríguez, Julio","R","76.446710082",31.730350620932345,6.924711056086604,-1.4836659627500628,0.46337448559670785,11.979046948282098,32.303828638507696,20.324781690225603,29.70797626783075,1215
660670,"Acuña Jr., Ronald","R","76.414268656",38.71279583046433,11.874335218131353,6.162005269424572,0.5091937765205092,-1.070137545930922,30.19999884587359,31.27013639180452,25.48062667860562,707
670541,"Alvarez, Yordan","L","76.132676551",36.68460470327868,10.175033475917198,-4.940212250779223,0.40506329113924056,10.37992310881122,36.077864745084135,25.697941636272912,28.165840453322506,316
669003,"Mitchell, Garrett","L","76.117896017",31.703118394189566,9.975928342194296,7.2944866574330725,0.6440677966101696,-4.218188965829456,27.661183976880306,31.879372942709765,28.027923046974326,118
656577,"Jackson, Alex","R","76.062400611",30.942192433306914,11.706440610356951,-8.60095171720629,0.5222222222222223,4.5012837819104154,35.30519741402289,30.803913632112483,27.296650919095516,180
695578,"Wood, James","L","76.045597784",39.682356984557266,11.101308587103793,1.9191682044087304,0.41885325558794945,1.7085815559659778,32.67803954553354,30.969457989567555,30.13406815974902,1029
672744,"Canario, Alexander","R","76.007725478",35.1741911649448,13.563047541993841,1.8567594512746926,0.4801864801864801,0.6465899498278479,28.983193756658867,28.33660380683102,27.539670049340643,429
575929,"Contreras, Willson","R","75.993222084",32.78148699427175,9.431176301381198,-1.7685739332794095,0.4730021598272139,5.32761652471282,27.943322231996667,22.615705707283844,30.312338760464563,926
663609,"Baker, Luken","R","75.965784615",28.958886781153744,10.079584781837672,-4.969543068514595,0.6769230769230768,4.721599758723102,31.359949574165594,26.63834981544249,28.840734710332725,65
666624,"Morel, Christopher","R","75.958570035",27.317098168037077,14.89727035793127,-9.20742399315269,0.6897163120567374,6.953365621556496,34.448449816075204,27.495084194518714,26.380990301029858,564
680718,"Barger, Addison","L","75.92957743",28.796191114009858,9.059412037390814,-4.996977773132028,0.5104651162790698,-1.666488128666487,31.531735210328137,33.19822333899463,25.47948205575362,860
663586,"Riley, Austin","R","75.887103088",32.1711729419542,10.839407652554552,-4.470596731918999,0.45625000000000004,6.746037709035645,35.58461162045766,28.838573911422014,28.165670801381697,800
595751,"Alfaro, Jorge","R","75.876752955",35.526878278678424,3.6849867873543682,6.852939162264869,0.36363636363636365,-3.921997243939502,24.488564845415734,28.410562089355235,26.494553339772224,88
