id,Name,est_woba,xwOBA_pred,Swing+
592450,Aaron Judge,0.476,0.4148055180944962,127.57313452776066
660670,Ronald Acuña Jr.,0.406,0.409955558509631,126.45124405461877
665742,Juan Soto,0.441,0.40728679850624083,125.83390768912639
656941,Kyle Schwarber,0.414,0.4037506217885129,125.01592087881457
543807,George Springer,0.417,0.3944041178235906,122.8538917789946
663330,Jahmai Jones,0.408,0.39247210139723654,122.406978606884
608369,Corey Seager,0.412,0.3885902697915178,121.5090350631095
672012,Tyler Black,0.428,0.3838133468865302,120.40403940195742
682634,Kevin Alcántara,0.436,0.3836534827669283,120.3670597056032
669065,Kyle Stowers,0.387,0.37665277146224474,118.7476583104966
701762,Nick Kurtz,0.382,0.3747201151382537,118.300597117552
663604,Brandon Lockridge,0.269,0.373057222540108,117.91593754852391
665487,Fernando Tatis Jr.,0.381,0.37255025908047706,117.79866698871021
695578,James Wood,0.368,0.37123849399729053,117.49523007875746
669257,Will Smith,0.386,0.3712111752795016,117.48891072522687
621566,Matt Olson,0.371,0.36992611452586494,117.19165104879318
700250,Ben Rice,0.41,0.3689889273840253,116.97486134001662
666182,Bo Bichette,0.364,0.36664202719881195,116.43197744312349
702284,Cole Young,0.3,0.3640484978830596,115.83204340651076
671284,Tim Elko,0.246,0.36176869819137936,115.30468116564809
701350,Roman Anthony,0.382,0.3617379535194991,115.29756932195562
701398,Sal Stewart,0.412,0.36096529334033695,115.11883791629954
666176,Jo Adell,0.378,0.3607974872979722,115.08002109793838
665052,Griffin Conine,0.309,0.3604204212680163,114.99279835322253
657656,Ramón Laureano,0.372,0.35926286984709555,114.72503407837054
664954,Brett Sullivan,0.382,0.3592009851754961,114.71071894392743
650402,Gleyber Torres,0.371,0.3585091864631883,114.55069237647068
670541,Yordan Alvarez,0.402,0.35838636993114265,114.52228251143256
665489,Vladimir Guerrero Jr.,0.396,0.3582552873992795,114.49196055902877
547180,Bryce Harper,0.379,0.3573364212309947,114.27940884962732
692225,Kristian Campbell,0.296,0.35695868881661624,114.19203195716608
641933,Tyler O'Neill,0.375,0.3569373142853904,114.18708761020183
575929,Willson Contreras,0.369,0.35693272160261036,114.18602523288365
545361,Mike Trout,0.368,0.35598117054145517,113.9659128687416
693307,Dillon Dingler,0.36,0.3553650387371612,113.82338953646595
624413,Pete Alonso,0.399,0.35480101603263803,113.69292005774805
641343,Jake Bauers,0.364,0.35426029295903383,113.56784023919089
663853,Romy Gonzalez,0.358,0.35388028073239525,113.47993598158146
683002,Gunnar Henderson,0.348,0.3532864228081701,113.34256503324055
692216,C.J. Kayfus,0.333,0.35279823088006274,113.22963669566892
687263,Zach Neto,0.355,0.35259644989807437,113.18296080953156
805300,Jakob Marsee,0.353,0.35253470855909325,113.16867883072537
695681,Christian Moore,0.294,0.3522422217913613,113.10102092296412
669016,Brandon Marsh,0.342,0.3520954652926272,113.06707327558264
679529,Spencer Torkelson,0.346,0.3516704360853827,112.96875571023577
666018,Jonathan Aranda,0.392,0.35128308454862706,112.87915372670602
596103,Austin Slater,0.347,0.3492190320063999,112.40169801956671
805811,Bryce Eldridge,0.377,0.34909140576316666,112.37217557429663
621020,Dansby Swanson,0.355,0.34768910160450067,112.04779520606344
663757,Trent Grisham,0.377,0.3474841020765073,112.0003748073096
519317,Giancarlo Stanton,0.366,0.3470098213838288,111.89066441047008
683737,Michael Busch,0.392,0.3465244819357929,111.77839590730758
605170,Victor Caratini,0.334,0.34651624519807067,111.77649058883665
608701,Rob Refsnyder,0.347,0.3464130300969782,111.75261491800397
695257,Billy Cook,0.38,0.3462764925687479,111.72103111829027
672515,Gabriel Moreno,0.353,0.346143133300111,111.69018251215842
650490,Yandy Díaz,0.363,0.3458316267442954,111.61812495555913
606192,Teoscar Hernández,0.331,0.345454587548048,111.53090841800464
502671,Paul Goldschmidt,0.334,0.3454196672941508,111.5228306805552
682626,Francisco Alvarez,0.333,0.345358172154852,111.50860565254897
457705,Andrew McCutchen,0.342,0.345071017577767,111.44218118473358
676475,Alec Burleson,0.352,0.34420006136792747,111.24071198540419
680977,Brendan Donovan,0.356,0.34410784176225917,111.21937978763515
690993,Colt Keith,0.351,0.343637160810974,111.11050208135816
691019,Kyle Teel,0.345,0.34352804242569573,111.08526086547869
686527,Dominic Canzone,0.383,0.34341389763846164,111.05885694455606
666181,Will Benson,0.363,0.34333227190105325,111.03997531563539
691185,Maximo Acosta,0.367,0.34324399100811587,111.01955421912646
518692,Freddie Freeman,0.357,0.34258953414256044,110.86816555089092
681297,Colton Cowser,0.304,0.3425403570045472,110.85678991741027
677594,Julio Rodríguez,0.357,0.34245688867666957,110.83748206128973
656305,Matt Chapman,0.351,0.3423975054370942,110.82374555697909
542303,Marcell Ozuna,0.362,0.34186084253344057,110.69960493511154
687637,Dylan Beavers,0.351,0.34081580530667543,110.45786739312354
672580,Maikel Garcia,0.345,0.34080893427559134,110.45627798929883
695506,Jac Caglianone,0.327,0.34070546698573645,110.43234398227489
682985,Riley Greene,0.347,0.34069130586754687,110.42906823877476
695734,Daylen Lile,0.353,0.3404816935348129,110.38058080809985
671056,Iván Herrera,0.38,0.34016017356486494,110.30620695304029
502054,Tommy Pham,0.328,0.3399585556525387,110.25956878810393
668885,Austin Martin,0.347,0.3397499498663132,110.21131419131534
665019,Kody Clemens,0.341,0.33922022309602956,110.08877803270404
680718,Addison Barger,0.342,0.33907402872979503,110.05496041755991
665161,Jeremy Peña,0.344,0.3389934602590175,110.0363233550815
668930,Brice Turang,0.342,0.3389587330528322,110.02829027334208
